Animal ID,Herd,Frequency,Sex,Source,EntryDate,ENTRY_MONTH,ENTRY_BIOYR,DOB,AgeatEntry,DLS,DateLastSeen,AgeLastSeen,Dead,END_BIOYR,Mortality Date,MORT_BIOYR,Cause,CollarEnd,EndPopulation,EweGroup,Comments,ToothAge
00MI43,Minam,151.47,M,T,2/8/2000,2,1999,5/15/1998,1.7,2/15/2000,15-Feb-00,1.8,2,1999,15-Feb-00,1999,PR,,MI,,,No
00MI45,Minam,150.89,F,T,2/8/2000,2,1999,5/15/1997,2.7,4/12/2015,16-Jul-15,18.2,0,2015,,,,,LO,,TO LOSTINE 8/31/00. Recollar 151.511,No
00MI46,Minam,151.54,F,T,2/8/2000,2,1999,5/15/1997,2.7,4/14/2003,14-Apr-03,5.9,1,2002,14-Apr-03,2002,PN,,BRC,,To Bear Creek 5/17/00,Yes
00MI48,Minam,151.89,F,T,2/8/2000,2,1999,5/15/1992,7.7,8/28/2000,28-Aug-00,8.3,1,2000,28-Aug-00,2000,PN,,MV,,GRANDE RONDE 4/28/00 PN,Yes
00MI50,Minam,151.79,M,T,2/8/2000,2,1999,5/15/1999,0.7,1/15/2001,15-Jan-01,1.7,1,2000,15-Jan-01,2000,UNK,,WE,,GRANDE RONDE 4/17/00 UNK,Yes
00MI51,Minam,151.80,F,T,2/8/2000,2,1999,5/15/1997,2.7,4/10/2001,10-Apr-01,3.9,1,2000,10-Apr-01,2000,PN,,WE,,GRANDE RONDE 4/27/00 PN,Yes
00MI52,Minam,151.82,F,T,2/8/2000,2,1999,5/15/1995,4.7,2/18/2000,18-Feb-00,4.8,2,1999,18-Feb-00,1999,PR,,MI,,,No
00MI53,Minam,151.83,M,T,2/8/2000,2,1999,5/15/1998,1.7,1/24/2001,24-Jan-01,2.7,1,2000,24-Jan-01,2000,UNK,,WE,,GRANDE RONDE 4/27/00 UNK,No
00MI54,Minam,151.84,M,T,2/8/2000,2,1999,5/15/1999,0.7,1/10/2001,10-Jan-01,1.7,1,2000,10-Jan-01,2000,PN,,WE,,GRANDE RONDE 4/17/00 PN,Yes
00MI55,Minam,151.85,F,T,2/8/2000,2,1999,5/15/1995,4.7,3/1/2000,01-Mar-00,4.8,2,1999,01-Mar-00,1999,PR,,MI,,,No
00MI58,Minam,151.94,F,T,2/8/2000,2,1999,5/15/1998,1.7,2/15/2000,15-Feb-00,1.8,2,1999,15-Feb-00,1999,PR,,MI,,,No
00S25,Sheep Divide,150.69,F,T,2/8/2000,2,1999,5/15/1995,4.7,2/5/2004,05-Feb-04,8.7,1,2003,05-Feb-04,2003,PN,,UHCOR,,TO UHC OR 11/12/02 PN,Yes
00S26,Sheep Divide,150.92,F,T,2/8/2000,2,1999,5/15/1992,7.7,2/5/2006,05-Feb-06,13.7,1,2005,01-Feb-06,2005,PN,,UHCOR,,TO UHCOR 3/15/00 PN,Yes
00S27,Sheep Divide,150.94,F,T,2/8/2000,2,1999,5/15/1998,1.7,8/25/2004,25-Aug-04,6.3,1,2004,25-Aug-04,2004,INJ,,UHCOR,,TO UHCOR 3/15/00 INJ,No
00S29,Sheep Divide,150.98,F,T,2/8/2000,2,1999,5/15/1999,0.7,5/8/2002,08-May-02,3,1,2002,08-May-02,2002,PR,,UHCOR,,TO UHCOR 3/15/00 PR,Yes
00S33,Sheep Divide,151.09,M,T,2/8/2000,2,1999,5/15/1998,1.7,7/1/2007,01-Jul-07,9.1,1,2007,01-Jul-07,2007,PN,,BC,,TO BC 9/19/00 PN,No
00S35,Sheep Divide,151.37,F,T,2/8/2000,2,1999,5/15/1992,7.7,10/18/2003,18-Oct-03,11.4,1,2003,18-Oct-03,2003,UNK,,BC,,TO BC 8/2/00 UNK,Yes
00S36,Sheep Divide,151.38,F,T,2/8/2000,2,1999,5/15/1997,2.7,2/21/2000,21-Feb-00,2.8,2,1999,21-Feb-00,1999,INJ,,SD,,,No
00S38,Sheep Divide,151.40,F,T,2/8/2000,2,1999,5/15/1993,6.7,3/14/2010,14-Mar-10,16.8,1,2009,16-Mar-10,2009,INJ,,UHCOR,,TO UHC 10/10/00 INJ,Yes
00S44,Sheep Divide,151.49,F,T,2/8/2000,2,1999,5/15/1995,4.7,2/11/2000,11-Feb-00,4.7,2,1999,11-Feb-00,1999,HU,,SD,,,Yes
00S49,Sheep Divide,151.91,F,T,2/8/2000,2,1999,5/15/1996,3.7,4/21/2004,21-Apr-04,7.9,1,2003,21-Apr-04,2003,UNK,,UHCOR,,TO UHC 10/10/00 UNK,Yes
00SD01,Sheep Divide,150.44,F,T,2/8/2000,2,1999,5/15/1993,6.7,5/13/2001,13-May-01,8,1,2001,13-May-01,2001,TR,,IM,,TO IM 4/17/00 TR,Yes
00SD21,Sheep Divide,150.47,F,T,2/8/2000,2,1999,5/15/1999,0.7,11/10/2000,10-Nov-00,1.5,1,2000,10-Nov-00,2000,PN,,UHCOR,,TO UHCOR 3/15/00  PN,No
00SD22,Sheep Divide,150.54,F,T,2/8/2000,2,1999,5/15/1993,6.7,1/9/2001,09-Jan-01,7.7,1,2000,09-Jan-01,2000,INJ,,IM,,TO IM 4/17/00 PN,Yes
00SD23,Sheep Divide,150.60,F,T,2/8/2000,2,1999,5/15/1998,1.7,9/15/2001,15-Sep-01,3.3,1,2001,15-Sep-01,2001,UNK,,UHCOR,,TO UHCOR 10/10/00 ? UNK,No
00SD24,Sheep Divide,150.67,F,T,2/8/2000,2,1999,5/15/1990,9.7,8/25/2001,25-Aug-01,11.3,1,2001,25-Aug-01,2001,INJ,,IM,,TO IM IM 4/17/00 INJ,Yes
00SD28,Sheep Divide,150.95,F,T,2/8/2000,2,1999,5/15/1999,0.7,4/12/2015,16-Jul-15,16.2,0,2015,,,,,UHC,,TO UHCOR 3/15/00,No
00SD30,Sheep Divide,150.99,M,T,2/8/2000,2,1999,5/15/1999,0.7,11/15/2000,15-Nov-00,1.5,1,2000,15-Nov-00,2000,UNK,,UHCOR,,TO UHCOR 3/15/00 UNK,No
00SD31,Sheep Divide,151.05,M,T,2/8/2000,2,1999,5/15/1998,1.7,12/12/2000,12-Dec-00,2.6,1,2000,12-Dec-00,2000,UNK,,UHCOR,,TO UHCOR 3/15/00 UNK,No
97V32,Redbird,151.37,F,R,3/24/1997,3,1996,5/15/1994,2.9,4/26/2004,26-Apr-04,10,1,2003,26-Apr-04,2003,INJ,,RB,,,Yes
97V33,Redbird,151.23,F,R,3/24/1997,3,1996,5/15/1993,3.9,10/1/2012,01-Oct-12,19.4,1,2012,01-Oct-12,2012,UNK,7/9/2007,RB,,,No
97V34,Redbird,151.39,F,R,3/24/1997,3,1996,5/15/1992,4.9,2/16/2006,16-Feb-06,13.8,1,2005,16-Feb-06,2005,UNK,,RB,,,No
97V35,Redbird,151.45,F,R,3/24/1997,3,1996,5/15/1992,4.9,10/5/2001,05-Oct-01,9.4,2,2001,,,DC,6/14/2001,RB,,,No
97V36,Redbird,151.47,F,R,3/24/1997,3,1996,5/15/1983,13.9,6/1/2001,01-Jun-01,18.1,1,2001,01-Jun-01,2001,UNK,,RB,,,No
97V37,Black Butte,151.30,F,R,3/24/1997,3,1996,5/15/1995,1.9,11/28/2009,28-Nov-09,14.6,1,2009,28-Nov-09,2009,PN,,BB,HellerBar,"eartagged in 1997, collared in 2003",Yes
97A05,Asotin,150.55,M,T,12/13/1997,12,1997,5/15/1996,1.6,11/19/1999,19-Nov-99,3.5,1,1999,19-Nov-99,1999,HU,,AS,,,No
97A20,Asotin,151.51,F,T,12/13/1997,12,1997,5/15/1995,2.6,10/21/2005,21-Oct-05,10.4,2,2005,,,DC,11/1/2002,AS,,,No
97A21,Asotin,150.16,M,T,12/13/1997,12,1997,5/15/1996,1.6,12/15/1997,15-Dec-97,1.6,2,1997,15-Dec-97,1997,HU,,AS,,,No
97A27,Asotin,150.14,F,T,12/13/1997,12,1997,5/15/1994,3.6,3/12/1999,12-Mar-99,4.8,1,1998,12-Mar-99,1998,INJ,,AS,,,No
97A44,Asotin,,F,T,12/13/1997,12,1997,5/15/1997,0.6,2/5/2002,05-Feb-02,4.7,2,2001,,,UNK,,AS,,,No
97A46,Asotin,150.35,F,T,12/13/1997,12,1997,5/15/1996,1.6,12/2/1999,02-Dec-99,3.6,1,1999,02-Dec-99,1999,INJ,,AS,,,Yes
97A48,Asotin,150.18,F,T,12/13/1997,12,1997,5/15/1997,0.6,7/18/2006,18-Jul-06,9.2,2,2006,,,UNK,,AS,,,No
97A51,Asotin,150.12,F,T,12/13/1997,12,1997,5/15/1994,3.6,2/21/2008,21-Feb-08,13.8,2,2007,,,DC,11/1/2002,AS,,Jul-07,No
97A55,Asotin,150.37,F,T,12/13/1997,12,1997,5/15/1993,4.6,8/1/2002,01-Aug-02,9.2,1,2002,,,UNK,,AS,,,No
97A57,Asotin,151.91,F,T,12/13/1997,12,1997,5/15/1995,2.6,2/12/2009,12-Feb-09,13.8,2,2008,,,DC,9/1/2002,AS,,moved to captivity WSU in 2/2009,No
97B02,Big Canyon,150.57,F,T,12/13/1997,12,1997,5/15/1993,4.6,7/19/2003,19-Jul-03,10.2,2,2003,,,DC,1/18/2001,BC,,,No
97B10,Big Canyon,150.62,F,T,12/13/1997,12,1997,5/15/1994,3.6,11/12/2000,12-Nov-00,6.5,1,2000,12-Nov-00,2000,SC,,BC,,,Yes
97B11,Big Canyon,151.87,F,T,12/13/1997,12,1997,5/15/1993,4.6,8/30/2000,30-Aug-00,7.3,1,2000,30-Aug-00,2000,UNK,,BC,,,No
97B12,Big Canyon,151.19,F,T,12/13/1997,12,1997,5/15/1994,3.6,2/11/2004,11-Feb-04,9.8,1,2003,11-Feb-04,2003,UNK,,BC,,,Yes
97B22,Big Canyon,151.43,F,T,12/13/1997,12,1997,5/15/1991,6.6,11/24/2008,24-Nov-08,17.5,1,2008,24-Nov-08,2008,UNK,,BC,,,Yes
97B23,Big Canyon,151.35,F,T,12/13/1997,12,1997,5/15/1993,4.6,12/13/2000,13-Dec-00,7.6,1,2000,13-Dec-00,2000,PN,,BC,,,Yes
97B24,Big Canyon,151.50,F,T,12/13/1997,12,1997,5/15/1995,2.6,9/12/2003,12-Sep-03,8.3,1,2003,02-Sep-03,2003,UNK,,BC,,,Yes
97B25,Big Canyon,151.66,M,T,12/13/1997,12,1997,5/15/1996,1.6,9/23/2000,23-Sep-00,4.4,1,2000,23-Sep-00,2000,PR,,IM,,,Yes
97B26,Big Canyon,151.91,F,T,12/13/1997,12,1997,5/15/1993,4.6,11/1/2003,01-Nov-03,10.5,1,2003,01-Nov-03,2003,PN,,BC,,,Yes
97B31,Big Canyon,150.33,M,T,12/13/1997,12,1997,5/15/1995,2.6,5/23/1998,23-May-98,3,2,1998,23-May-98,1998,PPR,,BC,,,No
97B32,Big Canyon,,M,T,12/13/1997,12,1997,5/15/1997,0.6,11/7/2006,07-Nov-06,9.5,2,2006,,,NC,,IM,,,No
97B36,Big Canyon,150.65,F,T,12/13/1997,12,1997,5/15/1993,4.6,9/20/1999,20-Sep-99,6.4,1,1999,20-Sep-99,1999,UNK,,BC,,,No
97B43,Big Canyon,150.55,F,T,12/13/1997,12,1997,5/15/1995,2.6,12/18/2010,18-Dec-10,15.6,2,2010,,,DC,11/20/2002,BC,,,No
97B45,Big Canyon,150.88,F,T,12/13/1997,12,1997,5/15/1994,3.6,11/24/2000,24-Nov-00,6.5,1,2000,24-Nov-00,2000,PN,,BC,,,Yes
97B53,Big Canyon,151.73,F,T,12/13/1997,12,1997,5/15/1993,4.6,9/24/2000,24-Sep-00,7.4,1,2000,24-Sep-00,2000,SC,,BC,,,Yes
97B54,Big Canyon,151.62,M,T,12/13/1997,12,1997,5/15/1996,1.6,5/4/2003,04-May-03,7,1,2003,23-Apr-03,2002,UNK,,BC,,,Yes
97M01,Muir,150.63,M,T,12/13/1997,12,1997,5/15/1995,2.6,11/8/2000,08-Nov-00,5.5,1,2000,08-Nov-00,2000,PN,,MU,,,Yes
97M06,Muir,150.29,F,T,12/13/1997,12,1997,5/15/1991,6.6,1/24/2001,24-Jan-01,9.7,1,2000,24-Jan-01,2000,PN,,MU,,,Yes
97M13,Muir,150.45,F,T,12/13/1997,12,1997,5/15/1993,4.6,10/15/2002,15-Oct-02,9.4,1,2002,15-Oct-02,2002,UNK,9/1/1999,MU,,DC 9/99,Yes
95I28,Imnaha,,F,R,12/15/1995,12,1995,,,5/30/2001,30-May-01,,2,2001,,,,,IM,,EARTAG_ONLY,No
95I31,Imnaha,,F,R,12/15/1995,12,1995,,,5/27/2003,27-May-03,,2,2003,,,,,IM,,EARTAG_ONLY,No
96I48,Imnaha,,F,R,2/15/1996,2,1995,,,6/13/2003,13-Jun-03,,2,2003,,,,,IM,,EARTAG_ONLY,No
97V13,Wenaha,150.23,F,R,3/23/1997,3,1996,5/15/1992,4.9,5/16/2001,16-May-01,9,1,2001,16-May-01,2001,PR,,WE,,,Yes
97V14,Wenaha,150.27,F,R,3/23/1997,3,1996,5/15/1989,7.9,6/24/2003,24-Jun-03,14.1,1,2003,21-Jun-03,2003,INJ,,WE,,,Yes
97V15,Wenaha,150.33,F,R,3/23/1997,3,1996,5/15/1990,6.9,1/8/2001,08-Jan-01,10.7,1,2000,08-Jan-01,2000,UNK,,WE,,,Yes
97V16,Wenaha,151.19,F,R,3/23/1997,3,1996,5/15/1992,4.9,9/12/2007,12-Sep-07,15.3,1,2007,12-Sep-07,2007,UNK,,WE,,,Yes
97V17,Wenaha,151.35,F,R,3/23/1997,3,1996,5/15/1991,5.9,2/19/2008,19-Feb-08,16.8,1,2007,19-Feb-08,2007,PN,,WE,,,Yes
97V18,Wenaha,151.52,F,R,3/23/1997,3,1996,5/15/1986,10.9,9/23/2003,23-Sep-03,17.4,1,2003,23-Sep-03,2003,UNK,,WE,,,Yes
97V19,Wenaha,151.53,F,R,3/23/1997,3,1996,5/15/1994,2.9,5/17/2001,17-May-01,7,1,2001,17-May-01,2001,UNK,,WE,,,Yes
97V20,Wenaha,151.62,F,R,3/23/1997,3,1996,5/15/1992,4.9,4/24/2007,24-Apr-07,15,1,2006,24-Apr-07,2006,UNK,,WE,,,No
97V21,Wenaha,151.66,F,R,3/23/1997,3,1996,5/15/1992,4.9,5/13/2006,13-May-06,14,1,2006,13-May-06,2006,UNK,,WE,,,No
97V22,Wenaha,151.73,F,R,3/23/1997,3,1996,5/15/1992,4.9,5/23/2004,23-May-04,12,1,2004,23-May-04,2004,INJ,,WE,,,No
97V23,Wenaha,151.87,F,R,3/23/1997,3,1996,5/15/1992,4.9,5/22/1998,22-May-98,6,1,1998,22-May-98,1998,INJ,,WE,,,No
97V24,Wenaha,151.91,F,R,3/23/1997,3,1996,5/15/1994,2.9,6/5/1997,05-Jun-97,3.1,1,1997,05-Jun-97,1997,INJ,,WE,,,No
97V01,Black Butte,150.92,F,R,3/24/1997,3,1996,5/15/1993,3.9,4/4/2009,04-Apr-09,15.9,1,2008,24-Apr-09,2008,PN,,BB,HellerBar,,Yes
97V02,Black Butte,151.40,F,R,3/24/1997,3,1996,5/15/1992,4.9,3/13/2000,13-Mar-00,7.8,1,1999,13-Mar-00,1999,PR,,BB,HellerBar,,Yes
97V03,Black Butte,151.42,F,R,3/24/1997,3,1996,5/15/1994,2.9,4/4/2012,04-Apr-12,17.9,1,2011,02-Apr-12,2011,PR,,BB,HellerBar,,No
97V04,Black Butte,151.49,F,R,3/24/1997,3,1996,5/15/1990,6.9,1/28/2001,28-Jan-01,10.7,1,2000,28-Jan-01,2000,UNK,,BB,HellerBar,,Yes
97V05,Black Butte,151.54,F,R,3/24/1997,3,1996,5/15/1992,4.9,3/20/2002,20-Mar-02,9.9,1,2001,20-Mar-02,2001,PR,,BB,HellerBar,,Yes
97V06,Black Butte,151.65,F,R,3/24/1997,3,1996,5/15/1992,4.9,5/12/2001,12-May-01,9,1,2001,12-May-01,2001,UNK,,BB,HellerBar,,Yes
97V07,Black Butte,151.76,F,R,3/24/1997,3,1996,5/15/1992,4.9,12/31/1997,31-Dec-97,5.6,1,1997,31-Dec-97,1997,PR,,BB,HellerBar,,No
97V08,Black Butte,151.86,F,R,3/24/1997,3,1996,5/15/1991,5.9,1/8/2009,08-Jan-09,17.7,1,2008,08-Jan-09,2008,UNK,,BB,HellerBar,,Yes
97V09,Black Butte,151.89,F,R,3/24/1997,3,1996,5/15/1993,3.9,12/8/1999,08-Dec-99,6.6,1,1999,08-Dec-99,1999,INJ,,BB,HellerBar,,Yes
97V10,Black Butte,151.90,F,R,3/24/1997,3,1996,5/15/1989,7.9,5/18/2000,18-May-00,11,1,2000,18-May-00,2000,INJ,,BB,HellerBar,,Yes
97V11,Black Butte,151.92,F,R,3/24/1997,3,1996,5/15/1992,4.9,2/8/2000,08-Feb-00,7.7,1,1999,08-Feb-00,1999,PR,,BB,HellerBar,,Yes
97V12,Black Butte,151.99,F,R,3/24/1997,3,1996,5/15/1992,4.9,2/23/2000,23-Feb-00,7.8,1,1999,23-Feb-00,1999,PR,,BB,HellerBar,,Yes
97V25,Redbird,150.94,F,R,3/24/1997,3,1996,5/15/1993,3.9,3/16/2004,16-Mar-04,10.8,1,2003,16-Mar-04,2003,UNK,,RB,,,Yes
97V26,Redbird,150.95,F,R,3/24/1997,3,1996,5/15/1993,3.9,6/27/2002,27-Jun-02,9.1,1,2002,27-Jun-02,2002,INJ,,RB,,,Yes
97V27,Redbird,150.98,F,R,3/24/1997,3,1996,5/15/1992,4.9,10/21/2006,21-Oct-06,14.4,1,2006,21-Oct-06,2006,UNK,,RB,,,No
97V28,Redbird,150.16,F,R,3/24/1997,3,1996,5/15/1988,8.9,8/28/2003,28-Aug-03,15.3,1,2003,28-Aug-03,2003,UNK,,RB,,,Yes
97V29,Redbird,151.18,F,R,3/24/1997,3,1996,5/15/1992,4.9,1/29/2008,29-Jan-08,15.7,1,2007,29-Jan-08,2007,INJ,,RB,,,Yes
97V30,Redbird,151.09,F,R,3/24/1997,3,1996,5/15/1993,3.9,2/14/2011,14-Feb-11,17.8,2,2010,,,DC,12/28/2010,RB,,Collar died  ~ 12/28/2010,No
97V31,Redbird,151.16,F,R,3/24/1997,3,1996,5/15/1994,2.9,10/21/2013,21-Oct-13,19.4,2,2013,,,DC,10/11/2007,RB,,,No
00SD32,Sheep Divide,151.08,M,T,2/8/2000,2,1999,5/15/1999,0.7,3/21/2000,21-Mar-00,0.9,1,1999,21-Mar-00,1999,INJ,,UHCID,,TO UHCOR  3/15/00 INJ,No
00SD39,Sheep Divide,150.86,M,T,2/8/2000,2,1999,5/15/1998,1.7,10/5/2000,05-Oct-00,2.4,1,2000,05-Oct-00,2000,HU,,SD,,,No
00L21,Lostine,151.73,M,R,2/9/2000,2,1999,5/15/1995,4.7,2/9/2000,09-Feb-00,4.7,2,1999,,,HU,,LO,,,No
00L14,Lostine,150.39,F,R,2/16/2000,2,1999,5/15/1993,6.8,5/22/2007,22-May-07,14,1,2007,22-May-07,2007,PN,,LO,,,Yes
00L15,Lostine,150.14,F,R,2/16/2000,2,1999,5/15/1995,4.8,2/25/2006,25-Feb-06,10.8,1,2005,25-Feb-06,2005,UNK,,LO,,,No
00L13,Lostine,151.48,F,R,2/17/2000,2,1999,5/15/1995,4.8,1/29/2014,29-Jan-14,18.7,1,2013,02-Feb-14,2013,UNK,,LO,,,No
01LO04,Lostine,151.39,F,R,1/25/2001,1,2000,5/15/1997,3.7,5/14/2006,14-May-06,9,1,2006,14-May-06,2006,UNK,,LO,,,No
01LO28,Lostine,,F,R,1/27/2001,1,2000,5/15/1996,4.7,2/21/2004,21-Feb-04,7.8,2,2003,,,,,LO,,,No
01LO32,Lostine,150.88,F,R,1/27/2001,1,2000,5/15/1996,4.7,4/30/2014,30-Apr-14,18,2,2013,,,DC,1/27/2014,LO,,recollared 3/26/13 with 150.953.   150.953 removed and not replaced 1/27/2014,No
01LO33,Lostine,,M,R,1/27/2001,1,2000,5/15/2000,0.7,3/23/2004,23-Mar-04,3.9,2,2003,21-Sep-04,2004,,,LO,,,No
01LO18,Lostine,151.90,M,RT,2/7/2001,2,2000,5/15/1999,1.7,6/7/2002,07-Jun-02,3.1,1,2002,07-Jun-02,2002,PN,,BC,,TO QUARTZ 12/15/01,Yes
01LO34,Lostine,150.21,F,R,2/7/2001,2,2000,5/15/1998,2.7,2/26/2014,26-Feb-14,15.8,2,2013,,,HU,,SDSU,,Moved to SDSU,No
01QZ57,Quartz,151.73,F,RT,12/7/2001,12,2001,5/15/1996,5.6,1/25/2004,25-Jan-04,7.7,1,2003,25-Jan-04,2003,UNK,,UHCOR,,TO UHCOR 1/11/02,Yes
01QZ67,Quartz,151.95,M,RT,12/7/2001,12,2001,5/15/2001,0.6,3/10/2008,10-Mar-08,6.8,2,2007,,,DC,,BC,,TO BC 6/03 DROPCOLLAR,No
